reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
14,28,5,0,0,0,l,1.1899546000058763,None,0,0,0,47,0.11966990001383238,,0.11042080001789145,0.11966990001383238,1.0032103000266943,1.0032103000266943,1.12108770001214,2.2106758000154514,l,1.1899546000058763,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
58,120,27,1,1,0,l,0.26911439999821596,None,0,1,1,69,2.2366229000035673,,2.2164386000076775,2.2366229000035673,3.2195787000237033,3.2195787000237033,3.236077200010186,3.503627400001278,l,0.26911439999821596,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
90,200,43,2,2,0,l,0.1814955000008922,None,0,2,2,85,3.5195147000194993,,3.5124129000178073,3.5195147000194993,4.5028943000070285,4.5028943000070285,4.519562200002838,4.686812400002964,l,0.1814955000008922,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
25,45,16,3,3,0,l,0.13187139999354258,None,0,3,3,10,4.702878100011731,,4.692655500024557,4.702878100011731,5.68650000001071,5.68650000001071,5.702891500026453,5.8201760000083596,l,0.13187139999354258,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
42,84,19,4,4,0,l,0.08188770001288503,None,0,4,4,61,5.835761000023922,,5.8236350000079256,5.835761000023922,6.835754900006577,6.835754900006577,6.835754900006577,6.919704400002956,l,0.08188770001288503,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
54,110,25,5,5,0,t,0.18758580001303926,None,0,5,5,67,6.93558170000324,,6.923393100005342,6.93558170000324,7.920033200003672,7.920033200003672,7.9366431000235025,8.119812200020533,t,0.18758580001303926,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
27,50,21,6,6,0,t,0.08060599997406825,None,0,6,6,2,8.135882500006119,,8.12399860000005,8.135882500006119,9.11909600000945,9.11909600000945,9.135856800014153,9.202680000016699,t,0.08060599997406825,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
40,55,62,7,7,0,t,0.09452130002318881,None,0,7,7,3,9.219084300013492,,9.206274100026349,9.219084300013492,10.201899100007722,10.201899100007722,10.21884540002793,10.302766500011785,t,0.09452130002318881,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
86,190,41,8,8,0,l,0.0698436000093352,None,0,8,8,83,10.31866680001258,,10.306740200001514,10.31866680001258,11.30287800001679,11.30287800001679,11.319361700006993,11.387058400025126,l,0.0698436000093352,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
45,72,55,9,9,0,t,0.01812319998862222,None,0,9,9,18,11.403065100021195,,11.390957499999786,11.403065100021195,12.401788700022735,12.401788700022735,12.401788700022735,12.436783700017259,t,0.01812319998862222,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
30,52,25,10,10,0,l,0.03947909999988042,None,0,10,10,12,12.452592900022864,,12.441223900008481,12.452592900022864,13.534867600013968,13.534867600013968,13.534867600013968,13.586174900003243,l,0.03947909999988042,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
70,94,110,11,11,0,l,0.18330179998883978,None,0,11,11,29,13.601676800026326,,13.590024000004632,13.601676800026326,14.585690000007162,14.585690000007162,14.602504200011026,14.770180999999866,l,0.18330179998883978,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
46,92,21,12,12,0,l,0.11716779999551363,None,0,12,12,63,14.785865200014086,,14.774113899999065,14.785865200014086,15.785361600021133,15.785361600021133,15.785361600021133,15.919112000003224,l,0.11716779999551363,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
16,32,6,13,13,0,l,0.11777930002426729,None,0,13,13,48,15.935898600000655,,15.924818700004835,15.935898600000655,16.934763199998997,16.934763199998997,16.951527299999725,17.06863510000403,l,0.11777930002426729,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
72,96,115,14,14,0,t,0.07753949999460019,None,0,14,14,30,17.08463280001888,,17.072432700020727,17.08463280001888,18.068264300003648,18.068264300003648,18.08469530000002,18.15175790002104,t,0.07753949999460019,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
100,160,185,15,15,0,l,0.02046379999956116,None,0,15,15,44,18.168329900014214,,18.156547500024317,18.168329900014214,19.151229000010062,19.151229000010062,19.167898600018816,19.184778400027426,l,0.02046379999956116,None,Participant_04,001,2025-11-06_06h48.49.136,Delay Discounting,,2025.1.1,60.08709023770058,2025-11-06 06h49.07.653190 +0530,
