thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
105,0,105,[np.float64(-0.034722222222222224)],[np.float64(0.4930555555555556)],[1],[0],[0],[2.136746399999538],['Target'],105,0,105,0,200.7795319,,5,200.7606122,200.7795319,200.7795319,0.0122559,202.8975149,[np.float64(-0.034722222222222224)],[np.float64(0.4930555555555556)],[1],[0],[0],[2.136746399999538],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
106,0,106,[np.float64(-0.15416666666666667)],[np.float64(0.33611111111111114)],[1],[0],[0],[1.8246555000005173],['Target'],106,0,106,0,202.9284268,,5,202.9056817,202.9284268,202.9284268,0.0080865,204.7304665,[np.float64(-0.15416666666666667)],[np.float64(0.33611111111111114)],[1],[0],[0],[1.8246555000005173],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
107,0,107,[np.float64(0.40555555555555556)],[np.float64(-0.46944444444444444)],[1],[0],[0],[1.7904422999999952],['Target'],107,0,107,0,204.7617424,,5,204.740429,204.7617424,204.7617424,0.0098821,206.5310264,[np.float64(0.40555555555555556)],[np.float64(-0.46944444444444444)],[1],[0],[0],[1.7904422999999952],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
108,0,108,[np.float64(0.21944444444444444)],[np.float64(0.4041666666666667)],[1],[0],[0],[2.158766200001992],['Target'],108,0,108,0,206.578973,,10,206.5554493,206.578973,206.578973,0.0243358,208.7143799,[np.float64(0.21944444444444444)],[np.float64(0.4041666666666667)],[1],[0],[0],[2.158766200001992],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
109,0,109,[np.float64(0.20833333333333334)],[np.float64(0.06527777777777778)],[1],[0],[0],[1.8406138999998802],['Target'],109,0,109,0,208.7445294,,5,208.7238015,208.7445294,208.7445294,0.0093107,210.5645704,[np.float64(0.20833333333333334)],[np.float64(0.06527777777777778)],[1],[0],[0],[1.8406138999998802],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
110,0,110,[np.float64(-0.38472222222222224)],[np.float64(0.12083333333333333)],[1],[0],[0],[1.5077024000056554],['Target'],110,0,110,0,210.6118405,,10,210.588333,210.6118405,210.6118405,0.0236491,212.0962044,[np.float64(-0.38472222222222224)],[np.float64(0.12083333333333333)],[1],[0],[0],[1.5077024000056554],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
111,0,111,[np.float64(-0.43194444444444446)],[np.float64(-0.08472222222222223)],[1],[0],[0],[1.2731114999987767],['Target'],111,0,111,0,212.1275669,,5,212.1068042,212.1275669,212.1275669,0.0105003,213.3800585,[np.float64(-0.43194444444444446)],[np.float64(-0.08472222222222223)],[1],[0],[0],[1.2731114999987767],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
112,0,112,[np.float64(-0.05416666666666667)],[np.float64(-0.39861111111111114)],[1],[0],[0],[1.3004619999992428],['Target'],112,0,112,0,213.4282814,,10,213.4125407,213.4282814,213.4282814,0.0324031,214.7131532,[np.float64(-0.05416666666666667)],[np.float64(-0.39861111111111114)],[1],[0],[0],[1.3004619999992428],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
113,0,113,[np.float64(0.4166666666666667)],[np.float64(-0.23472222222222222)],[1],[0],[0],[1.2475396000008914],['Target'],113,0,113,0,214.7438984,,10,214.7322401,214.7438984,214.7438984,0.0189817,215.9799214,[np.float64(0.4166666666666667)],[np.float64(-0.23472222222222222)],[1],[0],[0],[1.2475396000008914],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
114,0,114,[np.float64(0.0875)],[np.float64(0.2)],[1],[0],[0],[1.3610182999982499],['Target'],114,0,114,0,216.0108821,,5,215.9894712,216.0108821,216.0108821,0.0094332,217.3508065,[np.float64(0.0875)],[np.float64(0.2)],[1],[0],[0],[1.3610182999982499],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
115,0,115,[np.float64(-0.44583333333333336)],[np.float64(-0.03888888888888889)],[1],[0],[0],[1.6572454999986803],['Target'],115,0,115,0,217.4145347,,5,217.3795261,217.4145347,217.4145347,0.0284845,219.0372071,[np.float64(-0.44583333333333336)],[np.float64(-0.03888888888888889)],[1],[0],[0],[1.6572454999986803],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
116,0,116,[np.float64(0.2375)],[np.float64(-0.06527777777777778)],[1],[0],[0],[2.135720099999162],['Target'],116,0,116,0,219.1126946,,10,219.0795761,219.1126946,219.1126946,0.0420753,221.2155971,[np.float64(0.2375)],[np.float64(-0.06527777777777778)],[1],[0],[0],[2.135720099999162],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
117,0,117,[np.float64(0.2902777777777778)],[np.float64(0.06944444444444445)],[1],[0],[0],[1.031233699999575],['Target'],117,0,117,0,221.2613883,,10,221.2476634,221.2613883,221.2613883,0.0318493,222.2790862,[np.float64(0.2902777777777778)],[np.float64(0.06944444444444445)],[1],[0],[0],[1.031233699999575],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
118,0,118,[np.float64(-0.2708333333333333)],[np.float64(0.0125)],[1],[0],[0],[1.6547280000013416],['Target'],118,0,118,0,222.3105091,,5,222.2917629,222.3105091,222.3105091,0.0125544,223.9466725,[np.float64(-0.2708333333333333)],[np.float64(0.0125)],[1],[0],[0],[1.6547280000013416],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
