reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
42,70,50,0,0,0,l,6.031885000003967,None,0,0,0,17,0.11386110002058558,,0.1039294000074733,0.11386110002058558,1.014080200024182,1.014080200024182,1.114292700018268,7.055904400011059,l,6.031885000003967,None,Participant_02,001,2025-10-30_10h37.23.020,Delay Discounting,,2025.1.1,60.01766920709753,2025-10-30 10h37.42.773849 +0530,
42,84,19,1,1,0,t,0.6888789000222459,None,0,1,1,61,7.080811400024686,,7.063250200008042,7.080811400024686,8.064107400015928,8.064107400015928,8.08066060001147,8.764225500024622,t,0.6888789000222459,None,Participant_02,001,2025-10-30_10h37.23.020,Delay Discounting,,2025.1.1,60.01766920709753,2025-10-30 10h37.42.773849 +0530,
92,205,44,2,2,0,l,0.23774640000192448,None,0,2,2,86,8.780412599997362,,8.769165300007444,8.780412599997362,9.763744399999268,9.763744399999268,9.780472100013867,10.013762500020675,l,0.23774640000192448,None,Participant_02,001,2025-10-30_10h37.23.020,Delay Discounting,,2025.1.1,60.01766920709753,2025-10-30 10h37.42.773849 +0530,
67,75,119,3,3,0,t,0.2829240999999456,None,0,3,3,5,10.029567899997346,,10.019959900004324,10.029567899997346,11.013498200016329,11.013498200016329,11.030668500025058,11.297173500002827,t,0.2829240999999456,None,Participant_02,001,2025-10-30_10h37.23.020,Delay Discounting,,2025.1.1,60.01766920709753,2025-10-30 10h37.42.773849 +0530,
46,92,21,4,4,0,t,0.8325302999874111,None,0,4,4,63,11.313768699998036,,11.30097020001267,11.313768699998036,12.296445800020592,12.296445800020592,12.313458500022534,13.13094380000257,t,0.8325302999874111,None,Participant_02,001,2025-10-30_10h37.23.020,Delay Discounting,,2025.1.1,60.01766920709753,2025-10-30 10h37.42.773849 +0530,
15,35,13,5,5,0,l,0.20439800000167452,None,0,5,5,1,13.146291600016411,,13.136962000018684,13.146291600016411,14.145898100017803,14.145898100017803,14.145898100017803,14.363840000005439,l,0.20439800000167452,None,Participant_02,001,2025-10-30_10h37.23.020,Delay Discounting,,2025.1.1,60.01766920709753,2025-10-30 10h37.42.773849 +0530,
82,115,140,6,6,0,l,0.3885620000073686,None,0,6,6,35,14.3799867000198,,14.367734900006326,14.3799867000198,15.379578899999615,15.379578899999615,15.379578899999615,15.77985270001227,l,0.3885620000073686,None,Participant_02,001,2025-10-30_10h37.23.020,Delay Discounting,,2025.1.1,60.01766920709753,2025-10-30 10h37.42.773849 +0530,
72,155,34,7,7,0,l,0.6863166999828536,None,0,7,7,76,15.79564460000256,,15.783018200017978,15.79564460000256,16.779774200025713,16.779774200025713,16.796165100007784,17.480378400010522,l,0.6863166999828536,None,Participant_02,001,2025-10-30_10h37.23.020,Delay Discounting,,2025.1.1,60.01766920709753,2025-10-30 10h37.42.773849 +0530,
90,200,43,8,8,0,l,0.7845029000018258,None,0,8,8,85,17.496726200013654,,17.484769700007746,17.496726200013654,18.496101700002328,18.496101700002328,18.496101700002328,19.296609300014097,l,0.7845029000018258,None,Participant_02,001,2025-10-30_10h37.23.020,Delay Discounting,,2025.1.1,60.01766920709753,2025-10-30 10h37.42.773849 +0530,
28,48,20,9,9,0,l,0.565767499996582,None,0,9,9,11,19.312881300022127,,19.300574599998072,19.312881300022127,20.29588740001782,20.29588740001782,20.312182499998016,20.864015200000722,l,0.565767499996582,None,Participant_02,001,2025-10-30_10h37.23.020,Delay Discounting,,2025.1.1,60.01766920709753,2025-10-30 10h37.42.773849 +0530,
