delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,400.0,unexp,0,0,0,space,0.8221861000019999,None,,1,[2.883626599999843],[2.8836387999981525],0,0,0,2,0.054991100001643645,,0.042022699999506585,0.054991100001643645,1.0066373000008753,1.0066373000008753,1.0565043000024161,1.8461387000024843,space,0.8221861000019999,None,1.8469619999996212,2.555368466666793,2.8887837000002037,2.854902700000821,2.856253800000559,2.8887837000002037,2.8887837000002037,2.8887837000002037,5.772815000000264,,1,[2.883626599999843],[2.8836387999981525],PARTICIPANT_,001,2025-11-13_18h12.28.392,Intentional Binding_exp,,2025.1.1,60.83320811735984,2025-11-13 18h12.48.323899 +0530,
0.1,400.0,unexp,1,1,0,space,0.07966320000195992,None,,1,[0.6341052000025229],[0.6341164000004937],0,1,1,0,5.7886981000010564,,5.773175599999377,5.7886981000010564,6.772200899999007,6.772200899999007,6.789231499999005,6.85592220000035,space,0.07966320000195992,None,6.856643499999336,6.955494666668771,7.270973999999114,7.25683779999963,7.257236299999931,7.270973999999114,7.270973999999114,7.270973999999114,7.905433700001595,,1,[0.6341052000025229],[0.6341164000004937],PARTICIPANT_,001,2025-11-13_18h12.28.392,Intentional Binding_exp,,2025.1.1,60.83320811735984,2025-11-13 18h12.48.323899 +0530,
0.4,1000.0,exp,2,2,0,space,0.12606899999809684,None,,1,[0.2508701000006113],[0.2508793999986665],0,2,2,4,7.922118700000283,,7.905714000000444,7.922118700000283,8.907900800000789,8.907900800000789,8.924293300002319,9.040303400000994,space,0.12606899999809684,None,9.041216600002372,9.43955116666645,9.771711299999879,9.744122700001753,9.74467580000055,9.771711299999879,9.771711299999879,9.771711299999879,10.022894199999428,,1,[0.2508701000006113],[0.2508793999986665],PARTICIPANT_,001,2025-11-13_18h12.28.392,Intentional Binding_exp,,2025.1.1,60.83320811735984,2025-11-13 18h12.48.323899 +0530,
0.7,1000.0,exp,3,3,0,space,0.07904200000120909,None,,1,[0.3357729000017571],[0.3357833000009123],0,3,3,11,10.039378800000122,,10.023157600000559,10.039378800000122,11.039355000000796,11.039355000000796,11.039355000000796,11.12262600000031,space,0.07904200000120909,None,11.1232611000014,11.822457566668406,12.136984200002189,12.119801400000142,12.120175000000017,12.136984200002189,12.136984200002189,12.136984200002189,12.473113200001535,,1,[0.3357729000017571],[0.3357833000009123],PARTICIPANT_,001,2025-11-13_18h12.28.392,Intentional Binding_exp,,2025.1.1,60.83320811735984,2025-11-13 18h12.48.323899 +0530,
0.1,1000.0,exp,4,4,0,space,0.16580969999995432,None,,1,[0.6168924000012339],[0.6169072000011511],0,4,4,6,12.48878970000078,,12.473371700001735,12.48878970000078,13.471786099999008,13.471786099999008,13.488851699999941,13.640745799999422,space,0.16580969999995432,None,13.641713000000891,13.755185666668938,14.070363400001952,14.050245300000824,14.050767700002325,14.070363400001952,14.070363400001952,14.070363400001952,14.68771100000231,,1,[0.6168924000012339],[0.6169072000011511],PARTICIPANT_,001,2025-11-13_18h12.28.392,Intentional Binding_exp,,2025.1.1,60.83320811735984,2025-11-13 18h12.48.323899 +0530,
0.4,400.0,unexp,5,5,0,space,0.03647549999732291,None,,1,[0.3337872000010975],[0.33379710000008345],0,5,5,1,14.704835000000458,,14.687956100002339,14.704835000000458,15.687926900001912,15.687926900001912,15.704868100001477,15.739040399999794,space,0.03647549999732291,None,15.739628900002572,16.13840686666687,16.471217300000717,16.441947700001037,16.442332599999645,16.471217300000717,16.471217300000717,16.471217300000717,16.805310700001428,,1,[0.3337872000010975],[0.33379710000008345],PARTICIPANT_,001,2025-11-13_18h12.28.392,Intentional Binding_exp,,2025.1.1,60.83320811735984,2025-11-13 18h12.48.323899 +0530,
0.7,1000.0,exp,6,6,0,space,0.42353150000053574,None,,1,[0.13499080000110553],[0.13500700000076904],0,6,6,8,16.822268600000825,,16.805554099999426,16.822268600000825,17.804730899999413,17.804730899999413,17.821250500001042,18.2386499000022,space,0.42353150000053574,None,18.239216100002523,18.95519506666848,19.286547100000462,19.259323700000095,19.25970210000014,19.286547100000462,19.286547100000462,19.286547100000462,19.421974200002296,,1,[0.13499080000110553],[0.13500700000076904],PARTICIPANT_,001,2025-11-13_18h12.28.392,Intentional Binding_exp,,2025.1.1,60.83320811735984,2025-11-13 18h12.48.323899 +0530,
0.4,1000.0,exp,7,7,0,space,0.16189989999838872,None,,1,[0.2694465999993554],[0.2694597000008798],0,7,7,10,19.437968599999294,,19.422220299999026,19.437968599999294,20.42087420000098,20.42087420000098,20.43762290000086,20.58895499999926,space,0.16189989999838872,None,20.58984860000055,20.988772366669096,21.303276700000424,21.286196699998982,21.28670240000065,21.303276700000424,21.303276700000424,21.303276700000424,21.57317850000254,,1,[0.2694465999993554],[0.2694597000008798],PARTICIPANT_,001,2025-11-13_18h12.28.392,Intentional Binding_exp,,2025.1.1,60.83320811735984,2025-11-13 18h12.48.323899 +0530,
0.1,1000.0,exp,8,8,0,space,0.03738590000284603,None,,1,[0.415882799999963],[0.41589509999903385],0,8,8,9,21.5874115000006,,21.57350430000224,21.5874115000006,22.573577999999543,22.573577999999543,22.589423100002023,22.623382600002515,space,0.03738590000284603,None,22.624304400000256,22.723696766668823,23.055274199999985,23.022598700001254,23.023244899999554,23.055274199999985,23.055274199999985,23.055274199999985,23.471593099999154,,1,[0.415882799999963],[0.41589509999903385],PARTICIPANT_,001,2025-11-13_18h12.28.392,Intentional Binding_exp,,2025.1.1,60.83320811735984,2025-11-13 18h12.48.323899 +0530,
0.7,1000.0,exp,9,9,0,space,0.4640118999996048,None,,1,[0.0008052000011957716],[0.0008202000026358292],0,9,9,5,23.487077199999476,,23.47185510000054,23.487077199999476,24.47312570000213,24.47312570000213,24.49000900000101,24.93769180000163,space,0.4640118999996048,None,24.938495200000034,25.636957566668812,25.972222899999906,25.93667600000117,25.93715499999962,25.972222899999906,25.972222899999906,25.972222899999906,25.97345100000166,,1,[0.0008052000011957716],[0.0008202000026358292],PARTICIPANT_,001,2025-11-13_18h12.28.392,Intentional Binding_exp,,2025.1.1,60.83320811735984,2025-11-13 18h12.48.323899 +0530,
